,PlayerID,Agent
457,844.0,jett
458,769.0,astra
459,5132.0,skye
460,5188.0,astra
461,5190.0,jett
462,893.0,sova
463,68.0,skye
464,146.0,viper
465,3757.0,sova
466,844.0,jett
467,769.0,astra
468,7458.0,viper
469,5132.0,skye
470,8419.0,jett
471,21668.0,sage
472,21901.0,sova
473,865.0,viper
474,2450.0,chamber
475,6572.0,viper
476,69.0,reyna
477,4931.0,chamber
478,3012.0,sage
479,2161.0,sova
480,2450.0,killjoy
481,21901.0,sova
482,21668.0,kayo
483,865.0,astra
484,8419.0,jett
485,69.0,reyna
486,6572.0,astra
487,3012.0,jett
488,4931.0,killjoy
489,2161.0,sova
490,21901.0,sova
491,865.0,viper
492,8419.0,jett
493,21668.0,skye
494,2450.0,cypher
495,69.0,reyna
496,6572.0,skye
497,4931.0,viper
498,2161.0,sova
499,3012.0,chamber
500,5157.0,sova
501,823.0,astra
502,4009.0,skye
503,603.0,viper
504,3984.0,chamber
505,68.0,kayo
506,5190.0,jett
507,146.0,sova
508,5188.0,viper
509,893.0,cypher
510,4009.0,raze
511,603.0,cypher
512,5157.0,kayo
513,3984.0,breach
514,823.0,astra
515,893.0,raze
516,5188.0,astra
517,5190.0,chamber
518,68.0,breach
519,146.0,viper
520,4009.0,reyna
521,3984.0,jett
522,5157.0,sova
523,603.0,viper
524,823.0,sage
525,893.0,reyna
526,5188.0,viper
527,5190.0,jett
528,146.0,killjoy
529,68.0,sova
530,8419.0,raze
531,21668.0,jett
532,865.0,viper
533,21901.0,chamber
534,2450.0,astra
535,185.0,cypher
536,754.0,skye
537,1021.0,viper
538,20337.0,jett
539,1861.0,astra
540,8419.0,jett
541,21668.0,skye
542,21901.0,sova
543,865.0,viper
544,2450.0,cypher
545,1021.0,kayo
546,20337.0,jett
547,185.0,cypher
548,1861.0,sova
549,754.0,viper
550,21901.0,sova
551,865.0,astra
552,8419.0,jett
553,2450.0,killjoy
554,21668.0,kayo
555,185.0,killjoy
556,20337.0,reyna
557,1021.0,sage
558,754.0,astra
559,1861.0,sova
560,1618.0,kayo
561,1242.0,astra
562,5601.0,killjoy
563,1617.0,jett
564,6505.0,skye
565,6503.0,killjoy
566,13057.0,jett
567,14366.0,astra
568,8237.0,breach
569,14798.0,sova
570,6505.0,skye
571,1617.0,jett
572,5601.0,kayo
573,1242.0,astra
574,1618.0,sova
575,6503.0,killjoy
576,8237.0,kayo
577,13057.0,jett
578,14798.0,sova
579,14366.0,astra
580,6505.0,raze
581,1618.0,kayo
582,1617.0,sage
583,1242.0,astra
584,5601.0,killjoy
585,10458.0,sage
586,6503.0,killjoy
587,8237.0,breach
588,14366.0,astra
589,13057.0,jett
590,6505.0,jett
591,1618.0,breach
592,1617.0,kayo
593,1242.0,cypher
594,5601.0,viper
595,13057.0,jett
596,10458.0,raze
597,14366.0,astra
598,6503.0,cypher
599,8237.0,breach
600,823.0,astra
601,3984.0,chamber
602,603.0,viper
603,4009.0,skye
604,5157.0,sova
605,8862.0,sova
606,5112.0,jett
607,14113.0,chamber
608,8409.0,viper
609,7498.0,skye
610,3984.0,jett
611,603.0,viper
612,4009.0,raze
613,823.0,astra
614,5157.0,skye
615,8409.0,astra
616,14113.0,killjoy
617,8862.0,sage
618,5112.0,raze
619,7498.0,viper
620,2125.0,killjoy
621,12904.0,sova
622,1765.0,viper
623,6418.0,raze
624,891.0,jett
625,5188.0,viper
626,146.0,killjoy
627,68.0,sova
628,893.0,reyna
629,5190.0,jett
630,2125.0,cypher
631,6418.0,skye
632,891.0,jett
633,12904.0,sova
634,1765.0,astra
635,893.0,sova
636,5190.0,jett
637,146.0,killjoy
638,5188.0,astra
639,68.0,skye
640,6418.0,raze
641,891.0,sage
642,2125.0,cypher
643,1765.0,brimstone
644,12904.0,breach
645,5188.0,astra
646,68.0,breach
647,893.0,raze
648,146.0,viper
649,5190.0,chamber
650,5129.0,jett
651,3180.0,killjoy
652,1023.0,sage
653,11118.0,astra
654,421.0,sova
655,6432.0,skye
656,8343.0,jett
657,466.0,sova
658,8399.0,killjoy
659,8397.0,astra
660,1023.0,jett
661,3180.0,killjoy
662,11118.0,astra
663,421.0,sova
664,5129.0,skye
665,8397.0,astra
666,6432.0,skye
667,466.0,sova
668,8399.0,killjoy
669,8343.0,jett
670,844.0,jett
671,7458.0,viper
672,5132.0,reyna
673,769.0,chamber
674,3757.0,sova
675,19293.0,sova
676,19291.0,chamber
677,16757.0,sage
678,21542.0,viper
679,1080.0,raze
680,844.0,jett
681,5132.0,skye
682,3757.0,sova
683,769.0,viper
684,7458.0,cypher
685,19291.0,chamber
686,21542.0,viper
687,16757.0,astra
688,1080.0,skye
689,19293.0,sova
690,8419.0,jett
691,865.0,viper
692,21901.0,sova
693,2450.0,cypher
694,21668.0,skye
695,19677.0,jett
696,9065.0,sova
697,9835.0,viper
698,12918.0,cypher
699,8519.0,skye
700,8419.0,jett
701,21668.0,skye
702,2450.0,chamber
703,865.0,astra
704,21901.0,sova
705,8519.0,skye
706,9065.0,sova
707,19677.0,jett
708,9835.0,cypher
709,12918.0,astra
710,3012.0,killjoy
711,2161.0,sova
712,6572.0,astra
713,4931.0,chamber
714,19618.0,jett
715,6464.0,jett
716,2119.0,skye
717,3138.0,sova
718,8286.0,astra
719,21433.0,killjoy
720,19618.0,jett
721,6572.0,skye
722,3012.0,chamber
723,2161.0,sova
724,4931.0,viper
725,2119.0,chamber
726,21433.0,viper
727,8286.0,skye
728,6464.0,jett
729,3138.0,sova
730,5132.0,reyna
731,844.0,jett
732,7458.0,viper
733,3757.0,sova
734,769.0,chamber
735,19677.0,jett
736,9835.0,killjoy
737,8519.0,reyna
738,9065.0,sova
739,12918.0,viper
740,5129.0,jett
741,1023.0,sage
742,11118.0,astra
743,3180.0,killjoy
744,421.0,sova
745,5057.0,viper
746,13797.0,astra
747,20342.0,sova
748,3004.0,skye
749,14388.0,chamber
750,8419.0,jett
751,865.0,viper
752,2450.0,cypher
753,21668.0,skye
754,21901.0,sova
755,19291.0,chamber
756,1080.0,skye
757,21542.0,viper
758,16757.0,astra
759,19293.0,sova
760,3012.0,killjoy
761,4931.0,chamber
762,6572.0,astra
763,2161.0,sova
764,19618.0,jett
765,1107.0,astra
766,2116.0,jett
767,1413.0,chamber
768,846.0,sova
769,904.0,skye
770,603.0,viper
771,4009.0,raze
772,823.0,astra
773,5157.0,sova
774,3984.0,sage
775,8343.0,raze
776,8399.0,viper
777,8397.0,astra
778,466.0,sova
779,6432.0,skye
780,891.0,jett
781,12904.0,sova
782,2125.0,killjoy
783,6418.0,kayo
784,1765.0,astra
785,8345.0,jett
786,31.0,sova
787,4001.0,killjoy
788,3882.0,astra
789,6434.0,kayo
790,2450.0,killjoy
791,865.0,astra
792,21668.0,kayo
793,21901.0,sova
794,8419.0,jett
795,3879.0,killjoy
796,5052.0,sova
797,186.0,skye
798,3987.0,astra
799,13064.0,jett
800,4931.0,chamber
801,19618.0,jett
802,6572.0,viper
803,3012.0,sage
804,2161.0,sova
805,185.0,chamber
806,754.0,viper
