PlayerID,Patch,Agent,count
69.0,3,reyna,28
69.0,3,raze,9
69.0,3,skye,8
69.0,3,phoenix,1
70.0,1,omen,22
70.0,1,brimstone,15
70.0,1,breach,6
70.0,1,cypher,4
70.0,1,killjoy,1
70.0,2,cypher,7
70.0,2,killjoy,3
70.0,2,sage,2
71.0,0,phoenix,7
71.0,1,phoenix,54
71.0,1,sova,26
71.0,1,breach,16
71.0,2,sova,20
71.0,2,phoenix,18
71.0,2,raze,10
71.0,3,sova,3
71.0,3,sage,2
71.0,3,raze,1
72.0,0,jett,6
72.0,0,sova,1
72.0,1,jett,87
72.0,1,sova,10
72.0,2,jett,48
72.0,3,jett,23
72.0,3,sage,5
73.0,0,cypher,5
73.0,0,sage,2
73.0,1,cypher,44
73.0,1,sova,29
73.0,1,omen,8
73.0,1,breach,6
73.0,1,killjoy,5
73.0,1,raze,2
73.0,1,skye,1
73.0,1,phoenix,1
73.0,2,sova,22
73.0,2,astra,19
73.0,2,skye,4
73.0,2,omen,3
74.0,0,sage,5
74.0,1,omen,33
74.0,1,brimstone,21
74.0,1,sage,18
74.0,1,cypher,15
74.0,1,viper,7
74.0,1,killjoy,2
74.0,2,killjoy,24
74.0,2,brimstone,8
74.0,2,omen,3
74.0,2,cypher,2
74.0,2,viper,2
74.0,2,sage,1
74.0,3,killjoy,14
74.0,3,astra,11
74.0,3,cypher,10
74.0,3,viper,10
75.0,0,brimstone,7
75.0,1,omen,25
75.0,1,phoenix,25
75.0,1,brimstone,22
75.0,1,raze,12
75.0,1,reyna,10
75.0,2,skye,18
75.0,2,omen,17
75.0,2,phoenix,8
75.0,2,sage,3
75.0,2,reyna,2
75.0,3,skye,21
75.0,3,omen,6
75.0,3,brimstone,1
76.0,1,jett,22
76.0,1,reyna,4
76.0,1,cypher,1
76.0,2,sova,8
76.0,2,jett,6
76.0,2,viper,2
76.0,2,reyna,1
76.0,3,sova,15
76.0,3,viper,2
78.0,1,raze,30
78.0,1,phoenix,29
78.0,1,reyna,12
78.0,2,raze,31
78.0,2,omen,22
78.0,2,reyna,5
78.0,2,phoenix,1
79.0,1,phoenix,5
79.0,1,reyna,2
79.0,1,raze,1
79.0,2,reyna,7
79.0,2,sova,2
79.0,2,jett,2
79.0,2,sage,1
79.0,2,phoenix,1
80.0,1,sage,7
80.0,2,jett,7
80.0,2,reyna,1
81.0,1,cypher,7
81.0,1,omen,4
81.0,1,killjoy,1
81.0,1,sage,1
81.0,1,viper,1
81.0,1,sova,1
81.0,2,sova,20
81.0,2,sage,4
81.0,2,reyna,2
81.0,3,jett,6
81.0,3,raze,1
82.0,2,sage,4
82.0,2,sova,4
82.0,2,raze,2
82.0,2,breach,2
82.0,2,jett,2
82.0,2,skye,1
82.0,3,cypher,4
82.0,3,jett,3
82.0,3,skye,3
87.0,1,omen,9
87.0,1,brimstone,6
87.0,2,breach,30
87.0,2,skye,10
87.0,3,skye,1
88.0,1,sova,3
88.0,1,omen,1
89.0,1,raze,4
90.0,0,cypher,9
90.0,1,cypher,14
90.0,1,killjoy,8
90.0,1,sova,1
90.0,1,omen,1
90.0,2,killjoy,20
90.0,2,sage,3
90.0,3,killjoy,16
90.0,3,sage,4
90.0,3,skye,4
90.0,3,cypher,2
90.0,3,sova,2
90.0,3,viper,2
90.0,3,breach,1
92.0,0,reyna,8
92.0,0,sage,2
92.0,1,jett,12
92.0,1,breach,10
92.0,1,reyna,9
92.0,1,sage,5
92.0,1,phoenix,1
92.0,2,jett,15
92.0,2,phoenix,14
92.0,2,sage,7
92.0,2,reyna,6
92.0,3,jett,21
92.0,3,reyna,13
92.0,3,sage,4
93.0,0,jett,8
93.0,0,viper,1
93.0,0,reyna,1
93.0,1,jett,57
93.0,1,raze,6
93.0,1,viper,3
93.0,1,reyna,1
93.0,2,jett,31
93.0,2,raze,6
93.0,2,yoru,1
93.0,3,viper,17
93.0,3,killjoy,9
93.0,3,skye,8
93.0,3,cypher,6
93.0,3,sage,2
93.0,3,jett,1
97.0,0,cypher,6
97.0,1,cypher,19
97.0,1,killjoy,12
97.0,2,killjoy,31
97.0,2,brimstone,4
97.0,2,viper,4
97.0,2,cypher,2
97.0,2,sova,1
97.0,3,cypher,10
97.0,3,viper,6
97.0,3,sova,2
97.0,3,killjoy,1
98.0,0,brimstone,1
98.0,1,sova,46
98.0,1,raze,7
98.0,1,cypher,2
98.0,2,sova,24
98.0,2,sage,6
98.0,2,raze,5
98.0,3,sova,5
98.0,3,jett,3
98.0,3,skye,1
98.0,3,raze,1
99.0,0,sage,6
99.0,1,sage,13
99.0,1,sova,7
99.0,1,omen,6
99.0,1,brimstone,2
99.0,1,jett,2
99.0,1,phoenix,1
99.0,2,omen,22
99.0,2,sage,12
99.0,2,brimstone,6
99.0,2,raze,2
99.0,3,astra,11
99.0,3,breach,11
99.0,3,cypher,7
99.0,3,sage,3
99.0,3,brimstone,3
99.0,3,omen,1
100.0,0,breach,5
100.0,0,brimstone,1
100.0,1,omen,20
100.0,1,breach,12
100.0,1,sage,4
100.0,2,breach,7
100.0,2,omen,5
100.0,2,viper,4
100.0,2,astra,2
100.0,3,astra,6
100.0,3,sova,6
100.0,3,viper,5
100.0,3,skye,5
100.0,3,breach,1
100.0,3,omen,1
100.0,3,sage,1
100.0,3,phoenix,1
101.0,0,reyna,3
101.0,0,raze,3
101.0,1,raze,16
101.0,1,sova,13
101.0,1,phoenix,2
101.0,2,skye,18
101.0,2,sova,13
101.0,2,raze,8
101.0,2,breach,2
101.0,2,viper,1
101.0,3,skye,16
101.0,3,raze,9
101.0,3,kayo,5
101.0,3,sova,5
101.0,3,viper,2
101.0,3,sage,1
103.0,1,phoenix,1
108.0,0,cypher,2
108.0,1,cypher,10
108.0,1,raze,1
108.0,2,cypher,11
108.0,2,killjoy,1
109.0,0,brimstone,2
109.0,1,brimstone,34
109.0,1,omen,26
109.0,1,viper,2
109.0,1,phoenix,1
109.0,2,omen,14
109.0,2,viper,4
109.0,2,astra,2
109.0,2,phoenix,2
109.0,2,reyna,1
109.0,3,viper,7
109.0,3,omen,4
109.0,3,breach,3
109.0,3,sova,1
109.0,3,skye,1
109.0,3,sage,1
109.0,3,raze,1
109.0,3,killjoy,1
109.0,3,kayo,1
109.0,3,jett,1
109.0,3,brimstone,1
109.0,3,astra,1
110.0,1,omen,8
110.0,1,viper,3
110.0,1,breach,2
110.0,1,brimstone,1
110.0,2,omen,5
110.0,2,sage,1
110.0,3,omen,2
111.0,0,cypher,2
111.0,1,cypher,34
111.0,1,killjoy,2
111.0,2,killjoy,7
111.0,2,cypher,4
111.0,3,killjoy,26
111.0,3,viper,6
111.0,3,cypher,4
111.0,3,raze,2
113.0,0,reyna,1
113.0,1,reyna,15
113.0,1,killjoy,11
113.0,1,sage,11
113.0,1,raze,10
113.0,1,breach,8
113.0,1,phoenix,4
113.0,1,jett,4
113.0,1,skye,2
113.0,2,breach,19
113.0,2,skye,5
113.0,2,sage,2
113.0,3,kayo,7
113.0,3,breach,4
113.0,3,skye,1
114.0,1,sova,40
114.0,1,raze,5
114.0,1,killjoy,1
114.0,2,sova,24
114.0,2,raze,7
114.0,2,skye,3
114.0,2,sage,1
114.0,3,sova,49
114.0,3,skye,7
114.0,3,raze,1
114.0,3,breach,1
115.0,1,omen,50
115.0,1,reyna,1
115.0,2,omen,26
115.0,2,astra,13
115.0,2,viper,1
115.0,3,viper,5
115.0,3,astra,4
115.0,3,omen,3
116.0,1,cypher,11
116.0,1,omen,5
116.0,1,killjoy,1
116.0,2,killjoy,8
116.0,2,cypher,7
116.0,2,viper,3
117.0,1,sage,10
117.0,1,omen,8
117.0,1,breach,4
117.0,1,sova,1
117.0,1,reyna,1
117.0,2,omen,16
117.0,2,astra,7
117.0,2,viper,2
117.0,2,breach,1
117.0,3,omen,4
117.0,3,astra,3
117.0,3,reyna,1
117.0,3,viper,1
119.0,0,cypher,3
119.0,1,cypher,9
119.0,3,astra,2
119.0,3,viper,1
122.0,0,jett,1
122.0,1,jett,39
122.0,1,sage,17
122.0,1,sova,6
122.0,1,skye,1
122.0,2,breach,14
122.0,2,sage,6
122.0,2,phoenix,6
122.0,2,astra,5
122.0,2,omen,3
122.0,2,skye,1
122.0,3,jett,27
122.0,3,sage,12
122.0,3,astra,11
122.0,3,omen,6
122.0,3,brimstone,2
122.0,3,raze,2
122.0,3,cypher,1
123.0,2,jett,7
123.0,2,sage,1
125.0,1,jett,17
125.0,1,breach,5
125.0,1,omen,4
125.0,1,sage,3
125.0,1,raze,2
125.0,1,phoenix,1
125.0,2,sova,20
125.0,2,sage,9
125.0,2,skye,2
125.0,3,sova,6
125.0,3,jett,5
125.0,3,sage,3
125.0,3,skye,1
126.0,1,cypher,2
126.0,2,astra,5
126.0,2,brimstone,2
126.0,2,viper,1
126.0,2,cypher,1
126.0,3,cypher,5
126.0,3,viper,1
127.0,0,breach,3
127.0,1,omen,18
127.0,2,breach,5
127.0,2,skye,2
127.0,2,omen,1
127.0,3,breach,1
127.0,3,astra,1
127.0,3,omen,1
127.0,3,viper,1
128.0,0,sage,3
128.0,1,omen,22
128.0,1,sage,15
128.0,1,brimstone,1
128.0,2,sage,15
128.0,2,omen,9
128.0,2,skye,8
128.0,3,sova,4
128.0,3,skye,1
128.0,3,sage,1
129.0,0,reyna,2
129.0,0,raze,1
129.0,1,cypher,7
129.0,1,phoenix,5
129.0,1,omen,5
129.0,1,killjoy,5
129.0,1,raze,4
129.0,1,reyna,2
129.0,2,killjoy,13
129.0,2,cypher,10
129.0,2,sage,6
129.0,2,viper,6
129.0,3,viper,25
129.0,3,cypher,17
129.0,3,killjoy,16
130.0,0,omen,2
130.0,1,sova,19
130.0,1,breach,5
130.0,1,omen,4
130.0,2,sova,4
130.0,2,sage,1
130.0,3,sova,7
130.0,3,sage,2
130.0,3,skye,1
132.0,0,sova,2
132.0,1,raze,9
132.0,1,jett,5
132.0,1,omen,3
132.0,2,jett,15
132.0,2,raze,9
132.0,2,killjoy,5
132.0,2,cypher,4
132.0,2,reyna,1
133.0,0,breach,2
133.0,1,breach,2
133.0,1,omen,2
133.0,2,breach,6
134.0,0,cypher,2
134.0,2,raze,6
134.0,2,omen,4
134.0,2,sage,1
134.0,2,reyna,1
134.0,2,phoenix,1
134.0,2,killjoy,1
134.0,3,killjoy,4
134.0,3,viper,2
135.0,0,sage,2
136.0,1,cypher,24
136.0,1,killjoy,1
136.0,2,cypher,18
136.0,2,viper,10
136.0,2,killjoy,6
136.0,2,sova,3
136.0,2,sage,1
136.0,3,cypher,10
136.0,3,viper,5
136.0,3,killjoy,3
137.0,0,raze,2
137.0,1,raze,3
137.0,1,jett,2
137.0,1,sage,2
137.0,2,raze,12
137.0,2,jett,2
137.0,3,jett,6
137.0,3,raze,1
139.0,1,sova,6
141.0,1,sova,2
141.0,2,sova,4
141.0,2,astra,4
141.0,2,breach,3
141.0,2,omen,2
141.0,2,sage,2
141.0,2,viper,1
141.0,2,brimstone,1
141.0,3,viper,13
141.0,3,astra,13
141.0,3,omen,9
141.0,3,sova,2
141.0,3,brimstone,1
145.0,1,jett,1
145.0,2,sova,4
146.0,1,cypher,33
146.0,1,killjoy,9
146.0,1,sova,2
146.0,2,killjoy,55
146.0,2,cypher,26
146.0,2,sova,17
146.0,2,viper,10
146.0,3,viper,43
146.0,3,killjoy,28
146.0,3,sova,7
146.0,3,cypher,6
156.0,1,omen,29
156.0,2,sova,12
156.0,2,sage,8
156.0,2,cypher,7
156.0,2,breach,4
156.0,2,skye,1
156.0,3,sova,22
156.0,3,cypher,9
156.0,3,killjoy,6
156.0,3,omen,4
156.0,3,reyna,4
156.0,3,raze,2
162.0,1,sage,24
162.0,1,breach,23
162.0,2,omen,11
162.0,2,killjoy,8
162.0,2,brimstone,4
162.0,2,sage,2
162.0,2,viper,1
162.0,2,skye,1
162.0,2,breach,1
162.0,3,killjoy,3
162.0,3,viper,1
162.0,3,skye,1
162.0,3,phoenix,1
162.0,3,breach,1
164.0,1,raze,41
164.0,1,jett,4
164.0,2,sova,8
164.0,2,raze,7
164.0,2,skye,6
164.0,2,breach,5
164.0,3,sova,16
164.0,3,raze,8
164.0,3,breach,3
164.0,3,skye,2
165.0,1,omen,28
165.0,1,brimstone,18
165.0,1,raze,1
165.0,2,omen,10
165.0,2,viper,9
165.0,2,astra,5
165.0,2,killjoy,1
165.0,2,brimstone,1
165.0,3,viper,8
165.0,3,omen,3
165.0,3,raze,1
165.0,3,killjoy,1
165.0,3,astra,1
166.0,1,sova,23
166.0,1,cypher,21
166.0,1,raze,3
166.0,2,killjoy,7
166.0,2,viper,4
166.0,2,sova,4
166.0,2,sage,4
166.0,2,breach,4
166.0,2,jett,2
166.0,2,skye,1
166.0,3,killjoy,7
